01-01-2021;173700
02-01-2021;139800
03-01-2021;151800
04-01-2021;125100
05-01-2021;58800
06-01-2021;72400
07-01-2021;92400
08-01-2021;170800
09-01-2021;120200
10-01-2021;67000
11-01-2021;73900
12-01-2021;84200
13-01-2021;45500
14-01-2021;101050
15-01-2021;61300
16-01-2021;129300
17-01-2021;0
18-01-2021;0
19-01-2021;54200
20-01-2021;5200
21-01-2021;106750
22-01-2021;104300
23-01-2021;186150
24-01-2021;61700
25-01-2021;103100
26-01-2021;60600
27-01-2021;0
28-01-2021;0
29-01-2021;123800
30-01-2021;186700
31-01-2021;127550
01-02-2021;103000
02-02-2021;53400
03-02-2021;75800
04-02-2021;114000
05-02-2021;91400
06-02-2021;116100
07-02-2021;92300
08-02-2021;48000
09-02-2021;124800
10-02-2021;74600
11-02-2021;87300
12-02-2021;76300
13-02-2021;103900
14-02-2021;138700
15-02-2021;60300
16-02-2021;49500
17-02-2021;60600
18-02-2021;116800
19-02-2021;108900
20-02-2021;170200
21-02-2021;69400
22-02-2021;47650
23-02-2021;15300
24-02-2021;102150
25-02-2021;7500
26-02-2021;140700
27-02-2021;135900
28-02-2021;181050
01-03-2021;41800
02-03-2021;64400
03-03-2021;0
04-03-2021;81100
05-03-2021;117700
06-03-2021;95800
07-03-2021;119400
08-03-2021;75400
09-03-2021;55700
10-03-2021;78100
11-03-2021;29700
12-03-2021;196300
13-03-2021;190100
14-03-2021;168750
15-03-2021;42300
16-03-2021;46700
17-03-2021;56000
18-03-2021;71600
19-03-2021;110500
20-03-2021;185400
21-03-2021;128700
22-03-2021;46700
23-03-2021;31500
24-03-2021;92900
25-03-2021;149300
26-03-2021;134500
27-03-2021;159900
28-03-2021;202050
29-03-2021;43300
30-03-2021;74200
31-03-2021;95800
01-04-2021;150000
02-04-2021;210800
03-04-2021;117500
04-04-2021;124900
05-04-2021;69500
06-04-2021;0
07-04-2021;51050
08-04-2021;90000
09-04-2021;66100
10-04-2021;155700
11-04-2021;103600
12-04-2021;89400
13-04-2021;0
14-04-2021;68900
15-04-2021;91800
16-04-2021;72550
17-04-2021;147400
18-04-2021;76200
19-04-2021;5000
20-04-2021;0
21-04-2021;34800
22-04-2021;159150
23-04-2021;55900
24-04-2021;142700
25-04-2021;186650
26-04-2021;42500
27-04-2021;0
28-04-2021;64200
29-04-2021;98200
30-04-2021;315050
01-05-2021;378600
02-05-2021;199600
03-05-2021;73200
04-05-2021;0
05-05-2021;133600
06-05-2021;86850
07-05-2021;146975
08-05-2021;232800
09-05-2021;281800
10-05-2021;117300
11-05-2021;31200
12-05-2021;118800
13-05-2021;162600
14-05-2021;236250
15-05-2021;338900
16-05-2021;454600
17-05-2021;101400
18-05-2021;0
19-05-2021;56700
20-05-2021;95900
21-05-2021;245000
22-05-2021;0
23-05-2021;198900
24-05-2021;121200
25-05-2021;0
26-05-2021;13000
27-05-2021;88950
28-05-2021;375200
29-05-2021;275000
30-05-2021;190600
31-05-2021;73300
01-06-2021;0
02-06-2021;100150
03-06-2021;257600
04-06-2021;202600
05-06-2021;257200
06-06-2021;213800
07-06-2021;98700
08-06-2021;0
09-06-2021;147950
10-06-2021;53250
11-06-2021;243200
12-06-2021;240700
13-06-2021;233000
14-06-2021;41400
15-06-2021;0
16-06-2021;0
17-06-2021;124300
18-06-2021;153300
19-06-2021;116800
20-06-2021;368600
21-06-2021;82200
22-06-2021;0
23-06-2021;0
24-06-2021;129300
25-06-2021;155450
26-06-2021;230950
27-06-2021;261800
28-06-2021;139550
29-06-2021;0
30-06-2021;0
01-07-2021;61900
02-07-2021;219400
03-07-2021;199600
04-07-2021;182900
05-07-2021;96500
06-07-2021;0
07-07-2021;106400
08-07-2021;107100
09-07-2021;231200
10-07-2021;183850
11-07-2021;215850
12-07-2021;52100
13-07-2021;0
14-07-2021;100600
15-07-2021;196000
16-07-2021;153900
17-07-2021;175900
18-07-2021;301600
19-07-2021;85300
20-07-2021;0
21-07-2021;0
22-07-2021;140200
23-07-2021;158800
24-07-2021;158250
25-07-2021;126700
26-07-2021;62200
27-07-2021;0
28-07-2021;0
29-07-2021;0
30-07-2021;248900
31-07-2021;113700
01-08-2021;140000
02-08-2021;91700
03-08-2021;0
04-08-2021;0
05-08-2021;181900
06-08-2021;76000
07-08-2021;108800
08-08-2021;116250
09-08-2021;40900
10-08-2021;0
11-08-2021;0
12-08-2021;96200
13-08-2021;181800
14-08-2021;186800
15-08-2021;168600
16-08-2021;73000
17-08-2021;0
18-08-2021;114200
19-08-2021;87600
20-08-2021;99600
21-08-2021;90200
22-08-2021;212600
23-08-2021;59900
24-08-2021;0
25-08-2021;43000
26-08-2021;46000
27-08-2021;105700
28-08-2021;189300
29-08-2021;265200
30-08-2021;93600
31-08-2021;0
01-09-2021;148850
02-09-2021;167950
03-09-2021;0
04-09-2021;232950
05-09-2021;152400
06-09-2021;43000
07-09-2021;0
08-09-2021;75100
09-09-2021;56250
10-09-2021;169050
11-09-2021;124400
12-09-2021;127400
13-09-2021;74500
14-09-2021;0
15-09-2021;143300
16-09-2021;67650
17-09-2021;119700
18-09-2021;0
19-09-2021;0
20-09-2021;96400
21-09-2021;0
22-09-2021;0
23-09-2021;48000
24-09-2021;130600
25-09-2021;56400
26-09-2021;224900
27-09-2021;109000
28-09-2021;0
29-09-2021;77500
30-09-2021;68500
01-10-2021;112700
02-10-2021;217250
03-10-2021;137400
04-10-2021;60500
05-10-2021;0
06-10-2021;106800
07-10-2021;177500
08-10-2021;120550
09-10-2021;156450
10-10-2021;0
11-10-2021;130300
12-10-2021;0
13-10-2021;87200
